Index,Age,Ethnicities,Wait Time,All Patient States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
73,0-5 Years,All Ethnicities,< 30 Days,84,0,1,2,1,15,1,0,0,0,6,4,0,0,4,3,0,0,1,3,0,0,0,1,1,0,2,0,4,0,0,0,1,8,1,0,0,0,1,0,0,0,0,1,9,2,0,0,3,1,3,0
74,0-5 Years,All Ethnicities,30 to < 90 Days,151,1,0,6,2,15,5,1,1,1,10,4,1,0,7,1,0,1,1,0,0,3,2,2,4,2,7,0,1,2,0,2,0,8,4,2,5,2,0,5,1,2,0,1,12,1,0,9,2,3,2,0
75,0-5 Years,All Ethnicities,90 Days to < 6 Months,119,2,0,6,1,15,1,1,0,1,7,3,0,0,11,0,0,2,2,0,0,1,1,2,2,1,3,1,1,0,1,5,1,4,5,1,6,0,0,2,0,1,0,6,11,5,0,3,0,2,2,0
76,0-5 Years,All Ethnicities,6 Months to < 1 Year,143,2,0,2,2,21,5,0,1,0,5,7,1,1,2,2,1,4,3,1,0,5,4,2,4,0,1,0,0,3,0,7,0,6,1,0,7,2,2,7,0,1,0,1,20,1,1,2,3,0,3,0
77,0-5 Years,All Ethnicities,1 Year to < 2 Years,120,1,1,1,0,21,3,3,0,0,9,3,0,0,4,2,0,1,0,2,0,2,1,2,5,0,2,1,0,2,0,3,1,12,3,0,1,2,2,4,1,1,0,1,12,0,1,4,5,0,1,0
78,0-5 Years,All Ethnicities,2 Years to < 3 Years,59,0,0,3,1,8,3,0,0,1,9,1,0,0,1,1,0,0,1,0,0,0,2,0,2,0,0,0,0,1,0,1,0,4,1,0,3,0,0,3,1,0,1,1,1,0,0,1,5,0,0,0
79,0-5 Years,All Ethnicities,3 Years to < 5 Years,31,2,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,1,3,0,0,2,0,0,0,0,4,0,0,3,0,0,1,1,0,1,0
80,0-5 Years,All Ethnicities,5 or More Years,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
131,6-10 Years,All Ethnicities,All Time,501,7,0,4,6,90,3,4,0,1,27,17,4,1,21,11,4,10,4,9,1,13,8,7,13,5,3,0,2,4,1,11,1,29,12,0,19,4,4,27,0,8,0,10,48,4,1,19,10,0,5,1
132,6-10 Years,All Ethnicities,< 30 Days,35,1,0,0,0,6,1,1,0,0,2,0,0,0,3,0,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0
133,6-10 Years,All Ethnicities,30 to < 90 Days,51,1,0,1,0,7,0,1,0,0,4,2,0,0,1,1,1,0,0,1,0,0,1,0,1,4,0,0,1,2,0,2,0,6,1,0,2,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0
134,6-10 Years,All Ethnicities,90 Days to < 6 Months,46,0,0,0,1,1,0,1,0,0,3,2,0,0,2,1,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,2,0,4,2,0,5,0,0,3,0,2,0,1,2,0,1,3,1,0,0,0
135,6-10 Years,All Ethnicities,6 Months to < 1 Year,76,1,0,1,2,16,1,0,0,0,3,3,2,0,1,2,0,1,2,1,1,1,2,0,1,0,0,0,1,0,1,2,0,2,3,0,1,0,2,4,0,1,0,1,9,1,0,2,2,0,2,0
136,6-10 Years,All Ethnicities,1 Year to < 2 Years,102,4,0,1,2,21,1,1,0,1,10,3,0,1,2,2,1,1,0,2,0,2,2,1,6,1,1,0,0,0,0,2,1,4,1,0,3,3,1,2,0,1,0,3,8,1,0,3,0,0,0,1
